9.14	7.34	21.36
0.42	5.19	19.60
2.59	9.11	19.26
0.27	5.68	18.60
2.62	5.56	20.02
-0.59	5.99	19.89
1.73	5.77	16.92
6.19	6.61	18.92
-0.08	6.55	22.35
4.69	7.45	20.54
4.41	8.14	21.12
4.78	8.84	21.17
2.80	9.50	23.24
2.09	13.88	25.39
-0.69	11.51	26.84
3.84	9.43	23.12
-3.71	7.92	22.07
-0.53	7.86	22.97
4.20	9.18	22.76
5.92	11.31	23.35
-9.13	9.80	23.08
-4.24	8.27	21.09
-5.09	9.01	16.68
1.67	7.92	15.74
1.90	7.10	19.20
3.63	6.35	19.09
-0.29	6.19	22.30
-3.45	5.69	22.72
0.45	5.46	26.90
-6.78	6.96	20.17
-0.88	7.91	19.77
-2.47	8.39	18.93
2.45	9.10	20.85
2.64	9.67	22.99
0.36	9.46	17.29
0.67	8.91	17.27
-0.32	9.59	17.76
-2.33	9.41	18.16
-4.06	11.42	17.39
-0.42	12.45	18.90
-1.29	14.56	18.74
-1.19	13.39	17.45
-1.50	12.96	16.86
0.91	13.13	17.91
-0.16	11.84	17.20
0.13	11.67	17.82
2.34	11.96	19.82
1.21	13.72	21.62
-2.89	11.25	18.80
3.67	11.91	21.80
-0.55	12.35	21.83
-1.62	13.24	21.42
-0.51	14.04	21.69
-3.00	13.67	20.55
-4.78	14.05	17.41
-3.82	12.07	14.97
-0.41	11.57	15.04
