51.7	77.2	70.9
50.4	74.8	67.4
57.4	83.3	73.9
61.2	84.3	77.6
59.2	87	76.4
54.8	85.3	71.9
60.3	89.7	79.9
57.3	89.1	82.6
57.4	86.9	81.7
63	91.8	92.6
59.3	86.5	86.9
52	78.4	75.2
50.9	80.4	70.6
53.5	77.6	68.1
52.6	87.1	69.5
53.9	84.5	70.6
55.8	87.9	73.8
53.1	84.5	70.2
58.4	89.2	75.7
57.9	88.9	77.2
63.2	91.4	83.2
70.4	94	89.5
70.8	86.8	85.2
59.6	81.5	77.4
58.3	82.9	72.6
58.4	81	67.6
73.7	93.3	80.8
67.7	89.1	75.6
72.3	94	78.4
71.9	93.3	79
74	98	82.4
76.2	98.4	87
73.6	96.9	90.1
74.8	98.3	91.4
75.5	93.6	93.7
68.5	87	85.8
62.9	85.9	78.7
60	81.3	73.4
74.8	92.6	84.7
70.5	91.8	84.3
75.7	96.5	87.1
78.4	96.3	87.6
70.7	96.4	87.1
78.2	99.3	94.8
77.6	95.8	90.2
75.4	97.4	93.2
77.6	93.2	95.5
71.7	87.2	90
65.7	88	82.1
65.7	83.1	79.9
80.5	95.2	91.4
69.3	90.3	83.2
79.9	99.9	92.7
75.8	95.6	88.5
77	99.3	90
84	102	97.5
77.3	96	93.5
82.1	98.5	100.3
83.6	95.6	99.7
76.9	88.1	88.1
77.3	90.5	84.3
74.8	85.6	80.1
90.7	99.3	93.6
81.2	94.7	87
95.1	102.5	97.2
88.5	100.2	94.1
92	103.6	96.2
101.9	105.9	104.2
94.3	99.1	98.3
104.6	106.9	110.1
102.6	99.7	106.5
90.6	93.8	91.5
90.6	97.4	92
94.1	94.4	85
102.8	99.9	93
106.2	100.1	96
102.4	105	98.5
110	105.3	98.2
114.9	111.3	102.3
114.5	107.6	103.7
119.9	105.2	106.9
124.8	104.1	110.3
110	92.5	97.9
80.1	77.6	81.2
79.6	78.7	78.5
73.4	75.8	77.3
82.9	87.8	91.3
77.1	85.4	87.2
81.5	91.7	93.4
84.3	93.8	91.9
88.4	99	98.4
88.8	100.1	101.9
94.8	98.7	101.8
104.1	102.7	110.4
106.9	97.7	105.4
99.1	92.9	94.4
89.6	93.5	88.1
91.2	89.2	88
114.9	103	105.4
104.6	99.8	97
110.3	105.2	100.9
106.5	104.7	97.8
108.8	109.4	102.4
114	107.7	107
111.5	103.9	107
111.7	105.1	110.7
118.3	102.6	109.9
105.3	95.1	96.5
96.1	94.2	90.8
109.1	93	95.2
116.9	103.1	102.8
104.3	98.4	94.2
118.3	107.2	103.7
114.5	104.3	96.8
114.2	106.8	102.5
126.2	108.7	109.7
113.6	104.2	103.2
113.6	104.8	106.5
116	100.8	106
108.3	94.1	94.5
79.8	90.2	87.8
98.4	89.9	87.5
112.7	97.5	100.5
97.5	92.5	91.6
106.7	102.9	100.2
96.8	100.1	94.9
103.5	106	102
110.7	111.4	112.2
96.1	104.2	104.2
108.8	110.5	115.6
100.2	102.5	111
88.9	92.5	92.4
98.8	93.9	94.8
103.4	86.7	86.4
113.7	95.9	96.8
120.1	98.8	103
114.9	104.1	104.4
112.1	100.8	100.7
117	107.8	106.2
122.1	110.5	112.3
119.2	104.6	109.1
127.1	108.5	116.3
113	103	110.2
85	90.1	91.3
99.7	91.2	93.2
112.3	87.7	95.8
106.2	96	97.5
103.5	94.3	97
104.8	100.9	102.4
89	98.2	90.1
105.9	104.4	104.2
104.1	107.3	105.6
107.1	103.4	109.7
111.7	106.3	114.5
100.9	97.1	104.3
75.5	88.8	88.6
84.2	89.3	86.6
83.8	84.3	82.4
93.7	94.3	94.3
80.1	91.3	86.4
77.9	96.3	90.4
74.3	97.1	88.5
76.7	99	93.9
70.2	102.2	96.6
73.9	96	96.7
75.4	98.9	100.2
69.8	86.9	93.4
51.6	78.7	80.5
54.7	78.9	76.5
63.4	77.5	75.6
72.8	83.8	86.4
68.1	84.5	84.3
70.5	88.8	85.7
73.5	90.2	86.6
68.6	94.3	86.6
74.4	95.6	93.4
70.9	92.5	92.6
69.2	91.8	93
72	86.1	91
60.4	78.1	79.2
58.2	79.8	78.6
65.9	75.9	77.4
76.5	84.7	88.8
64.4	82	77.9
76	91.9	90.6
73.7	91.3	86.3
73.8	95.3	91.1
81.2	97.4	99.7
75.1	94.4	95.1
79.4	95	99.8
78.1	89.7	95.7
65.9	81.6	82.4
68.6	83.2	83.4

